transaction_id,product_id,location_id,transaction_type,quantity,unit_cost,transaction_date,reference_number,created_by_user
TRX-00001,CAB-UCCM-8368,PAR-FRA-55,ISSUE,-98,27.58,25-Jun-25,SO-2025-9193,admin
TRX-00002,ELE-HEH-1720,MOS-RUS-92,RECEIPT,42,37.04,28-Apr-25,PO-2025-3881,admin
TRX-00003,LIG-PLR-3471,TOR-CAN-33,RECEIPT,70,583.41,08-Aug-25,PO-2025-7952,clerk
TRX-00004,ELE-VEC-9675,JUA-MEX-52,TRANSFER,-14,174.13,09-May-25,TR-2025-5489,manager
TRX-00005,ELE-PES-8672,PAR-FRA-55,TRANSFER,-18,174.13,06-Apr-25,TR-2025-7660,manager
TRX-00006,CAB-PCH-7464,TOK-JAP-886,TRANSFER,-35,518.05,17-May-25,TR-2025-1263,manager
TRX-00007,LIG-VLLL-1428,SYD-AUS-81,RECEIPT,119,145.14,03-Aug-25,PO-2025-7081,admin
TRX-00008,CAB-VCRP-9138,TOR-CAN-33,TRANSFER,10,165.02,02-May-25,TR-2025-4717,admin
TRX-00009,ELE-EES-4900,SYD-AUS-81,ISSUE,-11,518.05,09-May-25,SO-2025-9020,QA
TRX-00010,CAB-UCH-5394,SYD-AUS-81,TRANSFER,-36,70.3,28-Jun-25,TR-2025-3945,admin
TRX-00011,ELE-SELL-1101,HYD-IN-91,TRANSFER,-40,385.05,21-Jul-25,TR-2025-9382,admin
TRX-00012,LIG-ULRP-1925,MOS-RUS-92,ISSUE,-26,518.05,20-Mar-25,SO-2025-8766,admin
TRX-00013,CAB-HCR-6088,PAR-FRA-55,ISSUE,-56,230.61,11-Apr-25,SO-2025-9904,manager
TRX-00014,ELE-PER-4151,JUA-MEX-52,RECEIPT,55,145.14,08-Apr-25,PO-2025-1233,manager
TRX-00015,ELE-EECM-5473,HYD-IN-91,ISSUE,-6,174.13,20-Feb-25,SO-2025-6390,admin
TRX-00016,ELE-UEC-8893,TOR-CAN-33,ISSUE,-87,447.51,17-Jul-25,SO-2025-2771,manager
TRX-00017,ELE-HERP-8826,BNG-IN-91,TRANSFER,39,85.75,05-Jun-25,TR-2025-3463,QA
TRX-00018,CAB-SCC-9497,TOK-JAP-886,RECEIPT,129,463.47,10-Jun-25,PO-2025-4239,manager
TRX-00019,ELE-PEH-4958,TOK-JAP-886,TRANSFER,-17,37.04,28-Jul-25,TR-2025-5516,QA
TRX-00020,CAB-DCCM-9513,MUM-IN-91,RECEIPT,32,70.3,17-Jun-25,PO-2025-4376,clerk
TRX-00021,LIG-ULS-5844,KAN-USA-1,RECEIPT,22,27.58,08-May-25,PO-2025-9458,admin
TRX-00022,ELE-SES-6213,SHG-CHN-77,RECEIPT,54,230.61,24-Jun-25,PO-2025-9770,manager
TRX-00023,LIG-HLR-7050,PAR-FRA-55,RECEIPT,49,135.45,08-Jul-25,PO-2025-7983,QA
TRX-00024,CAB-PCC-3927,JUA-MEX-52,ISSUE,-89,174.13,06-Aug-25,SO-2025-9297,clerk
TRX-00025,ELE-UEH-9223,CAI-EGY-15,RECEIPT,54,135.45,05-Apr-25,PO-2025-3859,clerk
TRX-00026,LIG-VLC-8520,DBN-SA-70,TRANSFER,31,583.41,02-Jun-25,TR-2025-7979,manager
TRX-00027,ELE-SEC-5371,MOS-RUS-92,RECEIPT,134,83.65,19-Apr-25,PO-2025-2819,manager
TRX-00028,LIG-DLRP-1379,TOR-CAN-33,RECEIPT,52,37.04,02-May-25,PO-2025-7514,clerk
TRX-00029,CAB-HCH-1296,MOS-RUS-92,ISSUE,-96,27.58,27-Feb-25,SO-2025-3417,admin
TRX-00030,CAB-ECH-5970,MUM-IN-91,TRANSFER,-60,85.75,30-Jun-25,TR-2025-5001,admin
TRX-00031,ELE-HEC-6261,BNG-IN-91,RECEIPT,113,151.28,04-Jul-25,PO-2025-2236,QA
TRX-00032,LIG-HLS-6207,PAR-FRA-55,TRANSFER,37,27.58,25-Feb-25,TR-2025-1214,admin
TRX-00033,ELE-PEH-2480,HYD-IN-91,ISSUE,-78,37.04,01-Jul-25,SO-2025-6352,clerk
TRX-00034,LIG-DLS-9851,JUA-MEX-52,TRANSFER,29,430.64,19-Jun-25,TR-2025-5306,clerk
TRX-00035,CAB-SCS-3360,MUM-IN-91,RECEIPT,49,463.47,23-Mar-25,PO-2025-8120,clerk
TRX-00036,LIG-VLC-9957,CAI-EGY-15,TRANSFER,-13,70.3,26-Mar-25,TR-2025-4162,admin
TRX-00037,ELE-PER-7223,CAI-EGY-15,RECEIPT,122,145.14,08-Jun-25,PO-2025-1327,QA
TRX-00038,ELE-HELL-2285,PAR-FRA-55,ISSUE,-32,151.28,02-Apr-25,SO-2025-2078,admin
TRX-00039,CAB-DCH-5616,PAR-FRA-55,TRANSFER,63,174.13,27-Feb-25,TR-2025-3328,QA
TRX-00040,ELE-UER-3248,LON-UK-44,RECEIPT,104,174.13,16-Feb-25,PO-2025-1705,admin
TRX-00041,ELE-SER-1714,MOS-RUS-92,RECEIPT,110,361.57,11-Apr-25,PO-2025-4483,clerk
TRX-00042,ELE-DERP-7064,BNG-IN-91,TRANSFER,32,83.65,07-May-25,TR-2025-1114,clerk
TRX-00043,LIG-HLS-2350,PAR-FRA-55,ISSUE,-32,518.05,04-Apr-25,SO-2025-7593,manager
TRX-00044,CAB-VCLL-5346,HYD-IN-91,RECEIPT,102,447.51,13-Jun-25,PO-2025-9439,admin
TRX-00045,LIG-HLS-7522,MUN-GER-49,ISSUE,-67,385.05,08-Apr-25,SO-2025-9475,admin
TRX-00046,ELE-SEC-1497,SYD-AUS-81,TRANSFER,31,145.14,31-May-25,TR-2025-2949,manager
TRX-00047,CAB-SCH-9306,MUM-IN-91,ISSUE,-71,518.05,25-Jul-25,SO-2025-8864,clerk
TRX-00048,ELE-PES-2645,MOS-RUS-92,TRANSFER,-40,151.28,04-Apr-25,TR-2025-9317,admin
TRX-00049,LIG-ULH-7871,PAR-FRA-55,ISSUE,-16,37.04,13-Apr-25,SO-2025-2336,manager
TRX-00050,ELE-UECM-2703,CAI-EGY-15,RECEIPT,150,583.41,22-Jul-25,PO-2025-6885,admin
TRX-00051,ELE-DER-6894,TOR-CAN-33,TRANSFER,-70,430.64,01-Mar-25,TR-2025-0705,QA
TRX-00052,CAB-VCS-9964,SHG-CHN-77,RECEIPT,125,230.61,21-Mar-25,PO-2025-5195,clerk
TRX-00053,ELE-EEC-1594,MUN-GER-49,RECEIPT,34,135.45,06-May-25,PO-2025-8122,QA
TRX-00054,LIG-ULC-5255,TOR-CAN-33,RECEIPT,122,174.13,20-Jun-25,PO-2025-9648,clerk
TRX-00055,CAB-DCCM-8680,MUM-IN-91,RECEIPT,22,447.51,10-Apr-25,PO-2025-8346,manager
TRX-00056,ELE-PER-3055,LON-UK-44,ISSUE,-29,37.04,30-Mar-25,SO-2025-8150,clerk
TRX-00057,LIG-ULS-6122,BNG-IN-91,ISSUE,-99,135.45,06-Jul-25,SO-2025-8361,clerk
TRX-00058,ELE-UEC-8979,PAR-FRA-55,TRANSFER,18,230.61,26-Apr-25,TR-2025-5121,manager
TRX-00059,CAB-PCH-1719,MOS-RUS-92,ISSUE,-59,447.51,31-May-25,SO-2025-2361,clerk
TRX-00060,ELE-SELL-1101,KAN-USA-1,ISSUE,-36,361.57,11-Jul-25,SO-2025-0321,admin
TRX-00061,CAB-SCCM-7312,LON-UK-44,RECEIPT,68,430.64,05-Jun-25,PO-2025-1876,manager
TRX-00062,LIG-SLR-2740,BNG-IN-91,RECEIPT,45,430.64,02-Aug-25,PO-2025-4381,manager
TRX-00063,ELE-HEC-4584,HYD-IN-91,ISSUE,-28,325.14,21-Jun-25,SO-2025-5440,manager
